date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
01/23/20 16:30:30,72c107057,0.9,0.75,Motorcycle
01/23/20 16:30:34,72c107057,0.91,0.794,Motorcycle
date,license_plate,score,dscore,vehicle_type
01/23/20 16:55:22,126131725,0.736,0.759,Motorcycle
01/23/20 16:55:35,72611176,0.68,0.269,Truck
01/23/20 16:55:39,726111z6,0.721,0.238,Truck
01/23/20 16:56:01,725f71176,0.6,0.206,Truck
01/23/20 16:56:39,72g23129,0.606,0.216,Truck
01/23/20 16:56:42,t2g131725,0.672,0.762,Motorcycle
date,license_plate,score,dscore,vehicle_type
01/23/20 16:58:44,72l94351,0.913,0.805,Motorcycle
01/23/20 16:58:44,51a90105,0.898,0.551,Car
01/23/20 16:58:49,72l94351,0.911,0.803,Motorcycle
01/23/20 16:58:49,51a90105,0.897,0.557,Car
01/23/20 16:58:53,72l94351,0.914,0.807,Motorcycle
01/23/20 16:58:53,51a90105,0.892,0.561,Car
01/23/20 16:58:56,72l94351,0.903,0.804,Motorcycle
01/23/20 16:58:56,51a90105,0.897,0.542,Car
01/23/20 16:59:00,72l94351,0.913,0.805,Motorcycle
01/23/20 16:59:00,51a90105,0.894,0.536,Car
01/23/20 16:59:04,72l94351,0.898,0.778,Motorcycle
01/23/20 16:59:04,51a90105,0.893,0.523,Car
01/23/20 16:59:07,72l94351,0.913,0.778,Motorcycle
01/23/20 16:59:07,51a90105,0.891,0.507,Car
01/23/20 16:59:12,72l94351,0.911,0.787,Motorcycle
01/23/20 16:59:12,51a90105,0.902,0.509,Car
01/23/20 16:59:17,72l94351,0.908,0.773,Motorcycle
01/23/20 16:59:17,51a90105,0.9,0.495,Car
01/23/20 16:59:21,72l94351,0.864,0.786,Motorcycle
01/23/20 16:59:21,51a90105,0.879,0.489,Car
01/23/20 16:59:24,72l94351,0.912,0.732,Motorcycle
01/23/20 16:59:24,51a00105,0.884,0.39,Car
01/23/20 16:59:28,72l94351,0.906,0.731,Motorcycle
01/23/20 16:59:28,51a00105,0.888,0.418,Car
01/23/20 16:59:31,72l94351,0.911,0.729,Motorcycle
01/23/20 16:59:31,a00105,0.872,0.381,Car
01/23/20 16:59:35,72l94351,0.897,0.709,Motorcycle
01/23/20 16:59:35,a90105,0.831,0.386,Car
01/23/20 16:59:39,72l94351,0.912,0.741,Motorcycle
01/23/20 16:59:39,51a00105,0.891,0.429,Car
01/23/20 16:59:43,72l94351,0.91,0.717,Motorcycle
01/23/20 16:59:43,e1a00105,0.74,0.413,Car
01/23/20 16:59:47,72l94351,0.912,0.762,Motorcycle
